pair,speaker,condition,round,trial,begin,end,duration_ms,duration_m,director,accuracy,target,num_words,num_content_words,num_lex_align,num_gestures,num_iconic_gestures,num_deictic_gestures,num_representational_gestures,num_other_gestures,num_gestural_align
2,A,Asym,2,2_1,422584,437610,15026,0.25043333333333334,A,1,14,24,12,1,3,3,0,3,0,1
2,B,Asym,2,2_1,422584,437610,15026,0.25043333333333334,A,1,14,6,2,0,0,0,0,0,0,0
2,A,Asym,2,2_2,437914,449981,12067,0.20111666666666667,B,1,9,15,8,0,0,0,0,0,0,0
2,B,Asym,2,2_2,437914,449981,12067,0.20111666666666667,B,1,9,14,5,0,0,0,0,0,0,0
2,A,Asym,2,2_3,450325,464163,13838,0.23063333333333333,A,1,16,20,9,1,4,4,0,4,0,2
2,B,Asym,2,2_3,450325,464163,13838,0.23063333333333333,A,1,16,5,2,0,0,0,0,0,0,0
2,A,Asym,2,2_4,464487,469174,4687,0.07811666666666667,B,1,3,2,1,0,1,0,0,0,1,0
2,B,Asym,2,2_4,464487,469174,4687,0.07811666666666667,B,1,3,12,5,1,0,0,0,0,0,0
2,A,Asym,2,2_5,469391,499256,29865,0.49774999999999997,A,1,10,46,24,4,7,6,0,6,1,1
2,B,Asym,2,2_5,469391,499256,29865,0.49774999999999997,A,1,10,24,10,3,0,0,0,0,0,0
2,A,Asym,2,2_6,499601,507952,8351,0.13918333333333335,B,1,11,6,1,0,0,0,0,0,0,0
2,B,Asym,2,2_6,499601,507952,8351,0.13918333333333335,B,1,11,15,5,1,0,0,0,0,0,0
2,A,Asym,2,2_7,508175,515618,7443,0.12405,A,1,12,11,4,1,0,0,0,0,0,0
2,B,Asym,2,2_7,508175,515618,7443,0.12405,A,1,12,3,0,0,0,0,0,0,0,0
2,A,Asym,2,2_8,515915,526675,10760,0.17933333333333332,B,1,7,15,5,0,0,0,0,0,0,0
2,B,Asym,2,2_8,515915,526675,10760,0.17933333333333332,B,1,7,11,6,1,0,0,0,0,0,0
2,A,Asym,2,2_9,527008,536000,8992,0.14986666666666668,A,1,6,21,8,1,1,1,0,1,0,1
